open,high,low,close,volume,payment_type,fare_amount
45.703125,46.015625,45.5625,46.015625,200500,CSH,45.96875
46.046875,46.046875,45.890625,45.96875,55100,CSH,46.234375
46,46.390625,45.859375,46.234375,550400,CSH,46.21875
46.328125,46.46875,46.1875,46.21875,99300,CSH,46.15625
46.140625,46.21875,46.03125,46.15625,120600,CSH,45.78125
46.265625,46.265625,45.78125,45.78125,131900,CSH,46.03125
45.984375,46.03125,45.890625,46.03125,80500,CSH,46.109375
46.078125,46.203125,46.078125,46.109375,83100,CSH,46.171875
46.046875,46.1875,46.03125,46.171875,109700,CSH,46.53125
46.3125,46.546875,46.3125,46.53125,161000,CSH,46.34375
46.546875,46.5625,46.3125,46.34375,142800,CSH,46.4375
46.34375,46.46875,46.296875,46.4375,44000,CSH,45.875
46.15625,46.203125,45.8125,45.875,403800,CSH,45.484375
45.546875,45.625,45.4375,45.484375,137400,CSH,45.09375
45.453125,45.453125,44.90625,45.09375,139200,CSH,45.265625
45.21875,45.421875,45.171875,45.265625,279900,CSH,45
45.34375,45.40625,44.9375,45,922500,CSH,44.0625
44.78125,44.78125,44,44.0625,353800,CSH,44.828125
44.234375,44.828125,44.015625,44.828125,371200,CSH,44.609375
44.84375,44.84375,44.25,44.609375,5382300,CSH,44.75
44.671875,45.015625,44.625,44.75,311800,CSH,44.46875
44.828125,44.84375,44.3125,44.46875,271900,CSH,44.5625
44.6875,44.6875,44.375,44.5625,406900,CSH,44.796875
44.65625,44.859375,44.515625,44.796875,112000,CSH,44.734375
44.625,44.8125,44.46875,44.734375,174800,CSH,44.921875
44.734375,44.921875,44.6875,44.921875,66700,CSH,44.90625
44.640625,44.984375,44.625,44.90625,148400,CSH,44.75
44.9375,45.015625,44.53125,44.75,124000,CSH,44.8125
44.765625,44.828125,44.515625,44.8125,257300,CSH,44.890625
44.828125,45.03125,44.828125,44.890625,532700,CSH,45.375
45.109375,45.46875,45.078125,45.375,494200,CSH,45.390625
45.34375,45.484375,45.328125,45.390625,49100,CSH,45.46875
45.390625,45.578125,45.390625,45.46875,72300,CSH,45.375
45.546875,45.5625,45.375,45.375,609500,CSH,45.171875
45.40625,45.40625,45.0625,45.171875,185300,CSH,45.265625
45.171875,45.296875,45.078125,45.265625,86300,CSH,45.34375
45.375,45.40625,45.25,45.34375,151600,CSH,45.40625
45.359375,45.453125,45.3125,45.40625,120900,CSH,45.359375
45.390625,45.421875,45.3125,45.359375,489600,CSH,45.359375
45.359375,45.359375,45.171875,45.359375,83200,CSH,45.453125
45.359375,45.578125,45.359375,45.453125,828200,CSH,45.90625
45.765625,46.046875,45.75,45.90625,459100,CSH,46.125
45.9375,46.15625,45.890625,46.125,486300,CSH,46.1875
46.28125,46.375,46.03125,46.1875,505500,CSH,46.203125
46.171875,46.234375,46.09375,46.203125,144100,CSH,45.9375
46.171875,46.21875,45.921875,45.9375,231700,CSH,45.78125
45.703125,45.84375,45.65625,45.78125,138400,CSH,45.890625
45.828125,45.9375,45.78125,45.890625,328600,CSH,45.96875
45.71875,45.96875,45.71875,45.96875,105900,CSH,46.140625
46,46.1875,45.9375,46.140625,840300,CSH,45.96875
46.03125,46.234375,45.734375,45.96875,876200,CSH,46.328125
46.046875,46.34375,46.046875,46.328125,184100,CSH,46.3125
46.375,46.484375,46.3125,46.3125,325900,CSH,46.640625
46.34375,46.6875,46.15625,46.640625,1089500,CSH,46.609375
46.703125,46.734375,46.578125,46.609375,133700,CSH,46.453125
46.453125,46.5625,46.40625,46.453125,620000,CSH,46.421875
46.46875,46.515625,46.3125,46.421875,103200,CSH,46.375
46.4375,46.4375,46.28125,46.375,79700,CSH,46.640625
46.578125,46.859375,46.515625,46.640625,268600,CSH,47.140625
46.6875,47.140625,46.671875,47.140625,254700,CSH,47.015625
47.09375,47.203125,46.890625,47.015625,147400,CSH,47.6875
47.125,47.78125,47.125,47.6875,339500,CSH,47.65625
47.8125,47.984375,47.640625,47.65625,350300,CSH,47.78125
47.640625,47.859375,47.578125,47.78125,36000,CSH,47.65625
47.703125,47.890625,47.59375,47.65625,356200,CSH,47.5
47.5,47.53125,47.328125,47.5,294600,CSH,47.296875
47.71875,47.71875,47.21875,47.296875,99600,CSH,47.3125
47.265625,47.359375,47.125,47.3125,229800,CSH,47.265625
47.421875,47.421875,47.21875,47.265625,27900,CSH,47.5
47.359375,47.5625,47.34375,47.5,284800,CSH,47
47.03125,47.125,46.8125,47,488400,CSH,46.859375
47,47.0625,46.78125,46.859375,129400,CSH,47
46.953125,47.125,46.859375,47,389200,CSH,47.046875
46.84375,47.109375,46.84375,47.046875,423500,CSH,47.640625
47.171875,47.640625,47.171875,47.640625,779800,CSH,47.015625
47,47.140625,46.84375,47.015625,571300,CSH,47.0625
47.125,47.328125,47.015625,47.0625,167300,CSH,46.171875
46.8125,46.859375,46.171875,46.171875,355600,CSH,46.171875
46.3125,46.3125,45.734375,46.171875,397500,CSH,46.0625
46.28125,46.28125,46.015625,46.0625,266400,CSH,45.90625
46.078125,46.171875,45.828125,45.90625,176600,CSH,46.140625
46.078125,46.171875,45.984375,46.140625,223000,CSH,46.109375
46.140625,46.265625,46,46.109375,479500,CSH,46.46875
46.359375,46.53125,46.328125,46.46875,324000,CSH,46.234375
46.46875,46.46875,46.09375,46.234375,195900,CSH,46.171875
46.21875,46.4375,46.171875,46.171875,5200,CSH,46.0625
46.203125,46.25,45.984375,46.0625,72600,CSH,45.375
46.296875,46.296875,45.34375,45.375,84200,CSH,45.390625
45.296875,45.390625,45,45.390625,461900,CSH,45.25
45.421875,45.453125,45.171875,45.25,345200,CSH,45.453125
45.25,45.578125,45.203125,45.453125,188700,CSH,45.9375
45.65625,46.015625,45.640625,45.9375,213600,CSH,46.625
46.140625,46.75,46.140625,46.625,461400,CSH,46.6875
46.6875,46.75,46.578125,46.6875,162400,CSH,46.84375
47.21875,47.328125,46.796875,46.84375,1564500,CSH,47.046875
47,47.0625,46.6875,47.046875,72800,CSH,46.953125
47,47.0625,46.90625,46.953125,282300,CSH,46.84375
46.90625,46.90625,46.6875,46.84375,132100,CSH,47.0625
46.671875,47.234375,46.65625,47.0625,136700,CSH,46.75
47.0625,47.0625,46.609375,46.75,290300,CSH,46.5625
46.625,46.6875,46.359375,46.5625,87800,CSH,46.171875
46.578125,46.765625,46.15625,46.171875,149600,CSH,46.21875
46.015625,46.3125,46,46.21875,91800,CSH,46.390625
46.390625,46.4375,46.171875,46.390625,201000,CSH,46.671875
46.5625,46.671875,46.453125,46.671875,210300,CSH,47.65625
46.765625,47.703125,46.765625,47.65625,192100,CSH,47.484375
47.546875,47.59375,47.46875,47.484375,36300,CSH,46.953125
47.28125,47.28125,46.9375,46.953125,435200,CSH,46.6875
46.8125,47.234375,46.6875,46.6875,115600,CSH,46.9375
46.84375,47.015625,46.78125,46.9375,87000,CSH,46.328125
47.15625,47.15625,46.328125,46.328125,124400,CSH,46.46875
46.4375,46.59375,46.3125,46.46875,115000,CSH,46.828125
46.625,46.984375,46.546875,46.828125,308300,CSH,46.90625
47.328125,47.328125,46.5,46.90625,318500,CSH,46.578125
46.9375,47.03125,46.546875,46.578125,172100,CSH,46.40625
46.515625,46.5625,46.28125,46.40625,302200,CSH,46.84375
46.609375,46.859375,46.609375,46.84375,181400,CSH,46.6875
46.796875,47.09375,46.328125,46.6875,316900,CSH,46.84375
46.765625,46.84375,46.609375,46.84375,106900,CSH,46.53125
46.875,46.875,46.34375,46.53125,104700,CSH,46.46875
46.546875,46.625,46.265625,46.46875,269300,CSH,46
46.4375,46.578125,46,46,283100,CSH,45
45.828125,46,45,45,483600,CSH,45.25
45.03125,45.265625,44.609375,45.25,601600,CSH,45.46875
45.28125,45.53125,45.28125,45.46875,77300,CSH,45.671875
45.453125,45.6875,45.34375,45.671875,79900,CSH,45.65625
45.65625,45.75,45.5,45.65625,105500,CSH,45.59375
45.890625,45.953125,45.59375,45.59375,218800,CSH,45.140625
45.640625,45.640625,45.046875,45.140625,439000,CSH,45.5625
45.046875,45.5625,45.046875,45.5625,318500,CSH,45.609375
45.65625,45.8125,45.5,45.609375,139200,CSH,45.640625
45.4375,45.65625,45.359375,45.640625,249900,CSH,45.3125
45.359375,45.5,45.265625,45.3125,531900,CSH,44.875
45.5,45.5625,44.75,44.875,261500,CSH,45.046875
44.875,45.078125,44.6875,45.046875,235900,CSH,45.34375
44.953125,45.34375,44.953125,45.34375,151100,CSH,45.515625
